,setor,matricula,cargo,funcao,salario,mes
126,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,230693,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,15001.31,1
127,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,230497,ASSISTENTE LEGISLATIVO III,,-840.0,1
128,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,230504,ASSISTENTE LEGISLATIVO III,,64.99,1
129,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,230751,ASSISTENTE LEGISLATIVO III,,3420.86,1
130,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,230753,ASSISTENTE LEGISLATIVO III,,3449.3,1
131,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR,29694,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,10141.91,1
132,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR,24554,ASSISTENTE LEGISLATIVO III,,8320.49,1
133,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR,27012,ASSISTENTE LEGISLATIVO III,,6974.56,1
134,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR,27621,ASSISTENTE LEGISLATIVO III,,15059.68,1
135,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR,29669,ASSISTENTE LEGISLATIVO III,,5067.81,1
136,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,27967,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,905.64,1
137,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,230685,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,9853.27,1
138,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,25185,ASSISTENTE LEGISLATIVO III,,8910.03,1
139,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,28231,ASSISTENTE LEGISLATIVO III,,8358.68,1
140,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,28731,ASSISTENTE LEGISLATIVO III,,6994.61,1
141,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,28991,ASSISTENTE LEGISLATIVO III,,8126.7,1
142,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,52379,COMISSIONADO,,2284.52,1
143,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,230030,ASSISTENTE LEGISLATIVO III,,-840.0,1
144,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM,230645,ASSISTENTE LEGISLATIVO III,,7100.24,1
145,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,28419,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,823.31,1
146,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,11137,PROCURADOR LEGISLATIVO,,31340.53,1
147,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,22416,ASSISTENTE LEGISLATIVO III,,6930.01,1
148,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,23916,ASSISTENTE LEGISLATIVO III,,7161.99,1
149,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,27119,ASSISTENTE LEGISLATIVO III,,7405.57,1
150,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,27822,ASSISTENTE LEGISLATIVO III,,7161.99,1
151,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,29796,ASSISTENTE LEGISLATIVO III,,6930.01,1
152,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,29855,ASSISTENTE LEGISLATIVO III,,6982.15,1
153,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,52008,COMISSIONADO,,2282.82,1
154,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,52255,COMISSIONADO,,3089.06,1
155,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSDB,230095,ASSISTENTE LEGISLATIVO III,,-840.0,1
156,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSB,24777,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,11777.06,1
157,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSB,25545,ASSISTENTE LEGISLATIVO III,,10160.42,1
158,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSB,29803,ASSISTENTE LEGISLATIVO III,,9324.95,1
159,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSB,230346,ASSISTENTE LEGISLATIVO III,,7752.56,1
160,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,29210,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,14202.21,1
161,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,29383,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,5936.44,1
162,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,11012,PROCURADOR LEGISLATIVO,,31296.06,1
163,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,24993,ASSISTENTE LEGISLATIVO III,,5641.96,1
164,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,29207,ASSISTENTE LEGISLATIVO III,,6573.24,1
165,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,29258,ASSISTENTE LEGISLATIVO III,,6107.46,1
166,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,51468,COMISSIONADO,,7485.99,1
167,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,52399,COMISSIONADO,,-933.49,1
168,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PMDB,230255,ASSISTENTE LEGISLATIVO III,,-840.0,1
169,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,28704,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,8376.57,1
170,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,25321,ASSISTENTE LEGISLATIVO III,,15088.88,1
171,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,28248,ASSISTENTE LEGISLATIVO III,,6784.9,1
172,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,230521,ASSISTENTE LEGISLATIVO III,,-407.5,1
173,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,230547,ASSISTENTE LEGISLATIVO III,,6111.84,1
174,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PRB,230589,ASSISTENTE LEGISLATIVO III,,4758.51,1
175,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,230288,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,10141.91,1
176,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,28744,ASSISTENTE LEGISLATIVO III,,7097.64,1
177,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,29910,ASSISTENTE LEGISLATIVO III,,6517.81,1
178,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,29996,ASSISTENTE LEGISLATIVO III,,5299.79,1
179,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,52228,COMISSIONADO,,7353.63,1
180,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSD,52359,COMISSIONADO,,3358.24,1
181,GABINETE DA LIDERANÇA DO GOVERNO,27755,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,18430.53,1
182,GABINETE DA LIDERANÇA DO GOVERNO,29391,ASSISTENTE LEGISLATIVO III,,6517.81,1
183,GABINETE DA LIDERANÇA DO GOVERNO,29500,ASSISTENTE LEGISLATIVO III,,8897.2,1
184,GABINETE DA LIDERANÇA DO GOVERNO,230362,ASSISTENTE LEGISLATIVO III,,5839.86,1
185,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PCDOB,25932,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,-840.0,1
186,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PCDOB,230274,ASSISTENTE LEGISLATIVO III,,-840.0,1
187,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSOL,25016,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,15194.27,1
188,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSOL,29257,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,-840.0,1
189,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSOL,29202,ASSISTENTE LEGISLATIVO III,,-840.0,1
190,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSOL,230606,ASSISTENTE LEGISLATIVO III,,4758.51,1
191,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSOL,230718,ASSISTENTE LEGISLATIVO III,,7364.74,1
192,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PDT,230296,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,-840.0,1
193,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PDT,28029,ASSISTENTE LEGISLATIVO III,,-840.0,1
194,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PDT,29763,ASSISTENTE LEGISLATIVO III,,-840.0,1
195,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSC,230669,ASSISTENTE LEGISLATIVO III,,6191.62,1
196,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PPS,24432,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,11241.83,1
197,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PPS,28112,ASSISTENTE LEGISLATIVO III,,8715.25,1
198,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO NOVO,28560,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,12003.78,1
199,01º GABINETE DE VEREADOR,40580,VEREADOR,VEREADOR,11378.4,1
200,01º GABINETE DE VEREADOR,22665,CHEFE DE GABINETE,CHEFE DE GABINETE,-80.0,1
201,01º GABINETE DE VEREADOR,27620,CHEFE DE GABINETE,CHEFE DE GABINETE,9335.23,1
202,01º GABINETE DE VEREADOR,26741,ASSISTENTE PARLAMENTAR,,-103.68,1
203,01º GABINETE DE VEREADOR,26776,ASSISTENTE PARLAMENTAR,,-80.0,1
204,01º GABINETE DE VEREADOR,26934,ASSISTENTE PARLAMENTAR,,8654.21,1
205,01º GABINETE DE VEREADOR,27412,ASSISTENTE PARLAMENTAR,,-80.0,1
206,01º GABINETE DE VEREADOR,27698,ASSISTENTE PARLAMENTAR,,8497.8,1
207,01º GABINETE DE VEREADOR,28500,ASSISTENTE PARLAMENTAR,,-80.0,1
208,01º GABINETE DE VEREADOR,28515,ASSISTENTE PARLAMENTAR,,-80.0,1
209,01º GABINETE DE VEREADOR,28707,ASSISTENTE PARLAMENTAR,,-80.0,1
210,01º GABINETE DE VEREADOR,29376,ASSISTENTE PARLAMENTAR,,-80.0,1
211,01º GABINETE DE VEREADOR,29491,ASSISTENTE PARLAMENTAR,,-80.0,1
212,01º GABINETE DE VEREADOR,29623,ASSISTENTE PARLAMENTAR,,-80.0,1
213,01º GABINETE DE VEREADOR,29791,ASSISTENTE PARLAMENTAR,,-80.0,1
214,01º GABINETE DE VEREADOR,29873,ASSISTENTE PARLAMENTAR,,7211.58,1
